nombre_embalse	fecha	hora	cota
MACHICURA	2022-01-02	9	256,7
MAULE	2022-01-02	9	2161,01
MELADO	2022-01-02	9	642,37
PANGUE	2022-01-02	9	509,55
POLCURA	2022-01-02	9	734,79
RALCO	2022-01-02	9	720,09
RAPEL	2022-01-02	9	104,01
ANGOSTURA	2022-01-02	10	316,57
CHAPO	2022-01-02	10	235,2
COLBUN	2022-01-02	10	429,86
INVERNADA	2022-01-02	10	1293,15
LAJA	2022-01-02	10	1319,23
MACHICURA	2022-01-02	10	256,66
MAULE	2022-01-02	10	2161,01
MELADO	2022-01-02	10	642,47
PANGUE	2022-01-02	10	509,56
POLCURA	2022-01-02	10	734,77
RALCO	2022-01-02	10	720,11
RAPEL	2022-01-02	10	104,01
ANGOSTURA	2022-01-02	11	316,6
CHAPO	2022-01-02	11	235,21
COLBUN	2022-01-02	11	429,86
INVERNADA	2022-01-02	11	1293,16
LAJA	2022-01-02	11	1319,23
MACHICURA	2022-01-02	11	256,62
MAULE	2022-01-02	11	2161,01
MELADO	2022-01-02	11	642,55
PANGUE	2022-01-02	11	509,56
POLCURA	2022-01-02	11	734,75
RALCO	2022-01-02	11	720,11
RAPEL	2022-01-02	11	104,01
ANGOSTURA	2022-01-02	12	316,62
CHAPO	2022-01-02	12	235,22
COLBUN	2022-01-02	12	429,85
INVERNADA	2022-01-02	12	1293,17
LAJA	2022-01-02	12	1319,23
MACHICURA	2022-01-02	12	256,59
MAULE	2022-01-02	12	2161,01
MELADO	2022-01-02	12	642,62
PANGUE	2022-01-02	12	509,56
POLCURA	2022-01-02	12	734,78
RALCO	2022-01-02	12	720,12
RAPEL	2022-01-02	12	104,01
ANGOSTURA	2022-01-02	13	316,62
CHAPO	2022-01-02	13	235,23
COLBUN	2022-01-02	13	429,85
INVERNADA	2022-01-02	13	1293,17
LAJA	2022-01-02	13	1319,23
MACHICURA	2022-01-02	13	256,56
MAULE	2022-01-02	13	2161,01
MELADO	2022-01-02	13	642,69
PANGUE	2022-01-02	13	509,58
POLCURA	2022-01-02	13	734,91
RALCO	2022-01-02	13	720,13
RAPEL	2022-01-02	13	104,01
ANGOSTURA	2022-01-02	14	316,62
CHAPO	2022-01-02	14	235,24
COLBUN	2022-01-02	14	429,84
INVERNADA	2022-01-02	14	1293,17
LAJA	2022-01-02	14	1319,23
MACHICURA	2022-01-02	14	256,55
MAULE	2022-01-02	14	2161,01
MELADO	2022-01-02	14	642,76
PANGUE	2022-01-02	14	509,58
POLCURA	2022-01-02	14	735,03
RALCO	2022-01-02	14	720,14
RAPEL	2022-01-02	14	104,01
ANGOSTURA	2022-01-02	15	316,62
CHAPO	2022-01-02	15	235,25
COLBUN	2022-01-02	15	429,84
INVERNADA	2022-01-02	15	1293,18
LAJA	2022-01-02	15	1319,23
MACHICURA	2022-01-02	15	256,52
MAULE	2022-01-02	15	2161,01
MELADO	2022-01-02	15	642,84
PANGUE	2022-01-02	15	509,58
POLCURA	2022-01-02	15	735,17
RALCO	2022-01-02	15	720,15
RAPEL	2022-01-02	15	104,0
ANGOSTURA	2022-01-02	16	316,61
CHAPO	2022-01-02	16	235,26
COLBUN	2022-01-02	16	429,84
INVERNADA	2022-01-02	16	1293,18
LAJA	2022-01-02	16	1319,23
MACHICURA	2022-01-02	16	256,46
MAULE	2022-01-02	16	2161,01
MELADO	2022-01-02	16	642,92
PANGUE	2022-01-02	16	509,6
POLCURA	2022-01-02	16	735,24
RALCO	2022-01-02	16	720,17
RAPEL	2022-01-02	16	104,0
ANGOSTURA	2022-01-02	17	316,61
CHAPO	2022-01-02	17	235,26
COLBUN	2022-01-02	17	429,83
INVERNADA	2022-01-02	17	1293,19
LAJA	2022-01-02	17	1319,23
MACHICURA	2022-01-02	17	256,41
MAULE	2022-01-02	17	2161,01
MELADO	2022-01-02	17	643,0
PANGUE	2022-01-02	17	509,6
POLCURA	2022-01-02	17	735,31
RALCO	2022-01-02	17	720,19
RAPEL	2022-01-02	17	104,0
ANGOSTURA	2022-01-02	18	316,62
CHAPO	2022-01-02	18	235,27
COLBUN	2022-01-02	18	429,83
INVERNADA	2022-01-02	18	1293,19
LAJA	2022-01-02	18	1319,23
MACHICURA	2022-01-02	18	256,37
MAULE	2022-01-02	18	2161,01
MELADO	2022-01-02	18	642,98
PANGUE	2022-01-02	18	509,6
POLCURA	2022-01-02	18	735,39
RALCO	2022-01-02	18	720,21
RAPEL	2022-01-02	18	104,0
ANGOSTURA	2022-01-02	19	316,62
CHAPO	2022-01-02	19	235,28
COLBUN	2022-01-02	19	429,83
INVERNADA	2022-01-02	19	1293,19
LAJA	2022-01-02	19	1319,23
MACHICURA	2022-01-02	19	256,34
MAULE	2022-01-02	19	2160,97
MELADO	2022-01-02	19	642,96
PANGUE	2022-01-02	19	509,57
POLCURA	2022-01-02	19	735,4
RALCO	2022-01-02	19	720,22
RAPEL	2022-01-02	19	104,0
ANGOSTURA	2022-01-02	20	316,64
CHAPO	2022-01-02	20	235,28
COLBUN	2022-01-02	20	429,83
INVERNADA	2022-01-02	20	1293,19
LAJA	2022-01-02	20	1319,23
MACHICURA	2022-01-02	20	256,28
MAULE	2022-01-02	20	2160,95
MELADO	2022-01-02	20	642,91
PANGUE	2022-01-02	20	509,53
POLCURA	2022-01-02	20	735,44
RALCO	2022-01-02	20	720,23
RAPEL	2022-01-02	20	104,0
ANGOSTURA	2022-01-02	21	316,68
CHAPO	2022-01-02	21	235,29
COLBUN	2022-01-02	21	429,83
INVERNADA	2022-01-02	21	1293,18
LAJA	2022-01-02	21	1319,23
MACHICURA	2022-01-02	21	256,3
MAULE	2022-01-02	21	2160,96
MELADO	2022-01-02	21	642,86
PANGUE	2022-01-02	21	509,59
POLCURA	2022-01-02	21	735,48
RALCO	2022-01-02	21	720,24
RAPEL	2022-01-02	21	104,0
ANGOSTURA	2022-01-02	22	316,73
CHAPO	2022-01-02	22	235,29
COLBUN	2022-01-02	22	429,83
INVERNADA	2022-01-02	22	1293,17
LAJA	2022-01-02	22	1319,23
